@Unicode	
@Begin	
@Languages: English|Mandarin 
@Participants: *MOT Target_Mother *CHI Child	
@ID: eng|Lara|MOT|||||Target_Mother|||	
@ID: eng|Lara|CHI|||||Child|||	
@Date: 	
@Location:	
@Comment: Filename: VS022_Narration Transcript_Yezhou.txt	
@Comment: 288 seconds	
@Comment: transcribed by Yezhou	
@Situation:	
@Start	
*MOT	We are going to read this book okay
*MOT	Your friend is waiting outside
*MOT	We are going to tell the story of this mama duck
*MOT	You see how many ducklings
*MOT	how many ducklings come one two three four five six seven eight
*MOT	come you see what happen 
*MOT	early one morning
*MOT	you see one of the ducklings go and chase the butterfly
*MOT	ya and then the rest of the sister and brother keep on looking at the duckling
*MOT	where did the duckling go
*MOT	then you see she is busy chasing the butterfly
*MOT	then the mama come
*MOT	mama duck come already
*MOT	mama duck come and the rest of the sister and brother
*MOT	mama mama sister go and chase the duckling ah chase the butterfly already
*MOT	then the mama duck come
*MOT	mama duck know or not
*MOT	i think mama duck do not know duckling run away
*MOT	oh dear how is it
*MOT	how the duckling is actually far away already
*MOT	then the mama duck bring the rest of the duck go play already
*MOT	ya there what happen to this duck
*MOT	what happen to the duckling
*MOT	huh the mama duck
*MOT	oh the mama duck go and find the duckling
*MOT	she go and ask this bird
*MOT	have you seen my duckling
*MOT	he say no
*MOT	i did not see your duckling
*MOT	oh the mama duck very sad
*MOT	you know the mama duck go and find oh go and ask the tortoise
*MOT	have you seen my duckling
*MOT	no no no
*MOT	i have not seen your duckling
*MOT	then what about this
*MOT	is this a beaver
*MOT	yes have you seen my duckling
*MOT	ya then the mama say have you seen my duckling
*MOT	then the this beaver
*MOT	what is this beaver doing by chewing all the wood or something right
*MOT	then the mama duckling still ask
*MOT	mama duck have you seen my duckling
*MOT	oh mama duck look under the water
*MOT	you see every duckling look under the water
*MOT	you see the fish
*MOT	ask the fish ask the tortoise
*MOT	no it s not the case
*MOT	it is a water spider or something like that
*MOT	the fish the tortoise ask the fish
*MOT	have you seen my duckling
*MOT	oh mama is giving up
*MOT	you see mama duck go and she go to a beach and fought this
*MOT	what is this 
*MOT	this is another type of creature
*MOT	it looks like a duck
*MOT	maybe it s a cousin of the duck
*MOT	then suddenly suddenly mama found something
*MOT	is this is this the duckling
*MOT	darling darling is this the duckling
*MOT	ya so the tortoise manage to find the duckling
*MOT	yay they are so happy
*MOT	butterfly
*MOT	see the butterfly
*MOT	so they manage to find the duckling
*MOT	that see that
*MOT	they are going home already you see
*MOT	because it s late already
*MOT	they are going back home to have dinner and sleep
*MOT	ya she still wants to chase after the butterfly
*MOT	she still want to talk to the butterfly
*MOT	i think she wants to make friend with the butterfly
*MOT	you saw the butterfly downstairs just now right
*MOT	is that the butterfly
*MOT	ya ok
*MOT	you see late already
*MOT	the wind is blowing
*MOT	you can see the little little fly here
*MOT	ya so cute
*MOT	what is this
*MOT	a frog this is a frog
*MOT	so everyone is sleeping
*MOT	then the mama duck protect the little duckling just like mama protect baby
*MOT	mama protect baby or not
*MOT	mama protect baby you see the baby duckling
*MOT	she is closing her eyes and everybody s close their eyes
*MOT	because it s at night
*MOT	she say goodnight duck goodnight mama duck goodnight duckling
*MOT	say goodnight goodnight
*MOT	oh have you seen my ducklings
*MOT	you see that is so cute
